# NEM 2010 half-hourly demand
#
# NSW   QLD     SA1     TAS    VIC
7625.24 5430.17 1443.72 1035.77 4843.91
7394.02 5276.50 1388.47 1031.84 4708.01
7076.30 5070.67 1284.81 1012.99 5032.87
6810.51 4903.83 1234.23 1014.43 4832.88
6645.99 4842.68 1187.47 1011.31 4666.89
6577.41 4816.79 1159.94 1004.08 4544.22
6568.49 4810.35 1150.24 991.35 4460.76
6611.57 4760.68 1141.23 992.03 4456.90
6767.67 4790.62 1151.53 999.19 4465.98
6897.65 4851.08 1173.98 980.48 4568.02
7254.61 4939.44 1186.38 1037.71 4701.07
7691.87 5093.21 1234.65 1073.22 4882.07
8094.21 5380.41 1296.69 1102.45 5205.61
8547.36 5728.65 1382.27 1131.05 5482.40
8945.26 6084.63 1474.64 1134.01 5521.78
9321.55 6341.57 1523.23 1132.27 5643.91
9693.70 6623.98 1593.63 1129.15 5770.61
9904.56 6797.48 1622.70 1097.39 5870.59
10146.06 6915.91 1688.15 1080.55 5946.13
10295.79 6974.82 1736.90 1097.58 6044.14
10411.76 7021.58 1780.16 1110.65 6121.78
10523.27 7023.07 1811.57 1091.35 6131.87
10670.66 7049.92 1846.40 1088.87 6198.77
10744.90 7116.00 1869.70 1088.37 6260.09
10788.82 7175.94 1923.08 1088.37 6269.07
10812.00 7198.42 1983.79 1075.04 6276.24
10812.69 7230.95 2038.72 1064.22 6284.01
10810.54 7302.53 2068.03 1048.14 6305.09
10844.66 7283.09 2056.26 1082.08 6314.52
10862.79 7275.51 2077.70 1098.36 6307.86
10863.68 7288.35 2114.03 1097.93 6326.96
10879.15 7266.13 2169.24 1102.11 6350.46
10717.72 7259.98 2174.08 1125.95 6291.09
10463.32 7256.94 2119.54 1136.42 6177.54
10069.26 7185.79 2086.63 1116.34 5986.58
9818.19 7133.36 2055.50 1110.88 5792.88
9464.20 6956.27 1989.42 1110.14 5588.43
9252.79 7003.64 1890.56 1070.58 5437.90
9208.15 7050.42 1801.83 1063.58 5348.32
9174.76 7009.21 1700.44 1071.42 5329.11
8999.46 6887.61 1647.38 1097.95 5428.10
8665.66 6763.75 1615.64 1111.04 5393.88
8672.50 6753.66 1561.96 1108.48 5222.26
8452.39 6489.76 1485.61 1087.88 5049.18
8303.59 6261.05 1412.65 1067.69 4899.73
8111.21 6110.77 1392.49 1026.62 4816.40
7895.78 5967.74 1370.93 1014.06 5101.94
7675.56 5707.67 1538.86 1003.04 5014.06
7433.46 5492.30 1440.02 1058.84 4770.03
7216.30 5286.51 1356.97 1055.34 4609.71
6940.48 5160.92 1255.99 1056.76 4921.06
6692.82 5047.42 1187.16 1061.55 4721.99
6477.56 4992.55 1160.02 1052.75 4498.22
6452.34 4955.58 1103.03 1042.95 4361.31
6415.95 4935.86 1115.77 1036.84 4290.90
6488.25 4949.96 1105.11 1049.84 4293.46
6627.10 4977.47 1116.73 1063.67 4349.05
6815.18 5001.85 1148.12 1078.63 4419.31
7234.25 5093.48 1159.33 1112.98 4580.09
7596.84 5236.11 1206.21 1138.89 4793.79
7944.29 5568.16 1277.42 1159.31 5167.12
8404.04 5881.02 1390.27 1199.84 5502.33
8777.14 6259.02 1497.53 1214.21 5606.44
9056.81 6544.58 1554.60 1221.98 5728.54
9340.36 6853.47 1644.52 1219.78 5873.70
9494.36 7073.12 1735.53 1208.40 5931.53
9569.22 7139.82 1776.20 1171.09 6012.62
9644.35 7174.56 1854.09 1163.58 6081.15
9675.44 7242.38 1917.56 1159.62 6135.96
9760.72 7272.76 1982.23 1155.84 6152.07
9795.93 7304.21 2038.48 1154.25 6249.31
9834.66 7310.06 2104.94 1151.11 6285.34
9864.35 7331.70 2150.77 1133.62 6302.69
9820.03 7323.87 2195.44 1139.98 6344.85
9739.00 7349.67 2238.47 1145.33 6356.61
9698.11 7392.77 2300.64 1158.93 6364.63
9719.74 7402.17 2327.26 1166.60 6415.13
9740.30 7412.81 2332.52 1169.77 6456.38
9716.60 7353.53 2336.97 1175.95 6508.01
9694.13 7351.18 2369.50 1179.59 6522.41
9598.56 7346.23 2363.84 1201.53 6512.21
9510.58 7334.25 2371.81 1206.01 6488.41
9323.07 7255.54 2371.49 1200.75 6304.35
9191.65 7191.37 2330.58 1218.67 6173.30
9030.73 7045.09 2304.61 1225.76 5981.84
8930.38 7091.27 2250.04 1217.09 5829.05
9002.44 7136.59 2174.65 1218.02 5662.60
9009.87 7098.49 2085.16 1224.58 5575.10
8747.61 7011.72 2021.22 1238.01 5594.78
8495.12 6864.36 1978.80 1232.87 5527.34
8474.72 6784.63 1909.13 1206.72 5388.65
8338.94 6470.34 1822.99 1161.80 5235.26
8226.66 6285.88 1715.22 1107.56 5101.83
8072.07 6115.97 1621.60 1066.56 4953.45
7900.61 5983.56 1534.46 1038.84 5163.41
7688.54 5803.39 1688.36 1015.30 5030.72
7498.35 5560.82 1585.06 1001.31 4814.75
7242.52 5390.43 1529.00 986.97 4699.39
6972.24 5187.15 1430.86 978.93 5023.29
6706.22 5085.33 1350.11 980.29 4853.00
6525.71 4976.14 1291.21 974.66 4672.18
6492.12 4908.29 1255.97 966.78 4564.78
6429.62 4943.20 1246.37 959.66 4518.50
6521.71 4933.97 1231.22 967.06 4489.92
6691.55 4930.62 1259.48 982.59 4542.11
6877.51 5007.11 1265.95 1011.49 4582.70
7253.56 5082.39 1268.29 1031.21 4825.32
7580.47 5254.94 1312.07 1097.94 5031.17
7964.73 5553.58 1377.99 1128.34 5346.19
8466.33 5888.90 1476.95 1164.87 5582.49
8865.07 6229.36 1595.48 1200.09 5695.46
9199.24 6536.70 1695.72 1207.63 5876.27
9462.84 6819.96 1822.24 1211.39 6062.62
9633.98 6970.97 1942.44 1200.46 6230.75
9794.13 7069.02 2039.41 1183.71 6370.98
9898.43 7154.18 2151.89 1184.21 6595.31
9904.75 7195.73 2267.17 1156.45 6812.42
9981.10 7256.68 2352.94 1146.43 6960.91
10026.50 7255.39 2412.23 1133.72 7126.82
10122.27 7268.23 2461.04 1120.87 7256.89
10194.43 7278.75 2540.33 1119.58 7410.51
10282.29 7296.81 2605.77 1137.70 7488.98
10339.63 7385.72 2680.75 1163.51 7535.36
10405.40 7310.28 2725.65 1178.50 7570.36
10463.35 7325.54 2724.87 1179.09 7710.26
10521.94 7257.95 2735.65 1181.64 7749.93
10614.57 7339.57 2736.70 1186.84 7865.80
10659.19 7355.32 2793.25 1207.04 8101.69
10616.02 7329.06 2793.31 1219.38 8145.75
10433.07 7302.06 2816.39 1229.13 8212.75
10106.14 7207.60 2818.68 1198.67 8036.14
9910.95 7028.83 2755.74 1175.89 7954.49
9658.67 6791.61 2715.37 1189.28 7762.99
9487.71 6747.10 2662.19 1189.69 7580.23
