# "Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-046129.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-046126.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-016001.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-018106.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-043091.epw","Solar field thermal output (MWh), Hourly | Location=E:\/BoM2010-036031.epw"
2.65138,2.62517,2.57482,2.10301,1.58324,2.5973
2.61024,2.64275,2.57517,2.55572,2.0619,2.5042
2.43512,2.61023,2.5329,2.55795,2.32801,2.3609
2.21631,2.27959,2.38016,2.25845,1.3492,2.04561
0.983199,1.06703,1.97342,2.06235,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.38699,2.12531,0.10316,0,2.36115,1.84713
2.63486,2.73223,2.39202,0.465637,2.57183,2.60986
2.56055,2.81206,2.3584,1.18033,2.6616,2.7217
2.69627,2.7419,2.42595,1.69688,2.65311,2.75771
2.59469,2.76653,2.53187,2.48532,2.66222,2.73836
2.69465,2.7931,2.51446,2.49375,2.73852,2.72833
2.83578,2.62206,2.66523,2.60822,2.72117,2.76927
2.74725,2.78424,2.67831,2.62243,2.73469,2.81554
2.68418,2.81237,2.69024,2.67124,2.67491,2.7548
2.54371,2.76373,2.62344,2.69232,2.5375,2.61904
2.3403,2.48071,2.48226,2.5784,2.28741,2.31971
1.05216,1.13414,2.044,2.33509,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
